epoch,batch_size,lr,tloss,vloss,vacc
1,18,0.0008,0.6519255153421332,0.5855166485380594,0.2929177883619797
2,18,0.0008,0.48467791970487667,0.46911826519013633,0.4008076206253883
3,18,0.0008,0.4072534591365235,0.4360995700134533,0.5133568026506523
4,18,0.0008,0.37083120322352303,0.44895055947395474,0.5770345827293436
5,18,0.0008,0.34438296640730653,0.45348688035685725,0.5775522882584386
6,18,0.0008,0.3209236544776337,0.3768826381629217,0.6071650445226755
7,18,0.0008,0.318090127750217,0.44495360639232856,0.6318078277075999
8,18,0.0008,0.31003059141922995,0.41133407600427385,0.6370884241043694
9,18,0.0008,0.30307644528244176,0.41706988986387444,0.6882377303789604
10,18,0.0008,0.3013045594579886,0.372545247874396,0.6777800786912405
11,18,0.0008,0.30485132320389075,0.37723332210894556,0.642369020501139
12,18,0.0008,0.30736067718704335,0.4761360991589041,0.6201076827500518
13,18,0.0008,0.31315161293713834,0.428152677688572,0.572478774073307
14,18,0.0008,0.3197702040784646,0.4172480096324132,0.6368813418927314
15,18,0.0008,0.32383021041360827,0.6636616861766607,0.550838682957134
16,18,0.0008,0.3300912035073285,0.42674571018730734,0.5968109339407744
17,18,0.0008,0.3306873547157068,0.555938245280283,0.4919237937461172
18,18,0.0008,0.3400100526447696,0.41634334265150447,0.5386208324704908
19,18,0.0008,0.34315312923561214,0.4290109083943864,0.5248498653965624
20,18,0.0008,0.3486956915368584,0.39677925936637387,0.5695796231103748
21,18,0.0008,0.3514381703406728,0.44131781849501744,0.5691654586870988
22,18,0.0008,0.3547245101154787,0.38230340646824823,0.5608821702215779
23,18,0.0008,0.3543267265227453,0.4231404333789059,0.428038931455788
24,18,0.0008,0.3582475229270795,0.4610619310557694,0.5097328639469869
25,18,0.0008,0.3633070861419458,0.5433154499005739,0.49337336922758335
