epoch,batch_size,lr,tloss,vloss,vacc,roc_acc
2,76,0.0032,0.4864296477889146,0.7323636616624537,0.35848348348348347,0.8298333368403439
3,76,0.0032,0.4067738066445965,0.465539397050937,0.41403903903903905,0.8784998086174263
4,76,0.0032,0.3682636921356089,0.42668992050346877,0.4435685685685686,0.8874585296006716
5,76,0.0032,0.34886379915690546,0.5692075718016851,0.49874874874874875,0.8804307936565193
6,76,0.0032,0.33154321868999415,0.4100626952768791,0.4904904904904905,0.9035847346345343
7,76,0.0032,0.3229790650330742,0.4546490419833433,0.38626126126126126,0.8741618871123377
8,76,0.0032,0.3119616547098322,0.39791065968927886,0.36461461461461464,0.8992153439726014
9,76,0.0032,0.3120304444311539,0.4439259389681475,0.4094094094094094,0.8759949263577893
10,76,0.0032,0.31086240001420956,0.34015707511987003,0.4647147147147147,0.9279331258185111
11,76,0.0032,0.31358667786587885,0.4151449396851517,0.42755255255255253,0.8931091376661946
12,76,0.0032,0.3217090432208829,0.5248194393657503,0.4239239239239239,0.8417641239838437
13,76,0.0032,0.326647620926842,0.9585562744843108,0.44907407407407407,0.8606695409122838
14,76,0.0032,0.3297080762634209,0.46654422900506426,0.4127877877877878,0.8682911515118723
15,76,0.0032,0.33980551667964654,0.642747369018339,0.40065065065065064,0.8469879100822544
16,76,0.0032,0.3444936673462525,0.41923175876339275,0.44907407407407407,0.9039241005269533
17,76,0.0032,0.3491578307649142,0.48596094903491793,0.4034034034034034,0.8894398026655284
18,76,0.0032,0.35744617723871275,0.42292465340523494,0.27715215215215216,0.8874823271720169
19,76,0.0032,0.3564670674442883,0.4851871446839401,0.375,0.8659195356517679
20,76,0.0032,0.3599591453332734,0.5579868618931089,0.3367117117117117,0.8447123299475652
21,76,0.0008,0.372236227581032,0.5171096610526243,0.2949199199199199,0.8741107849591334
22,76,0.0008,0.36821302127076855,0.5047034922809828,0.3205705705705706,0.8625927604280956
23,76,0.0008,0.37570224734405866,0.6308223913822856,0.3658658658658659,0.8556733034335636
24,76,0.0008,0.371076939162297,0.6126483484126982,0.39602102102102105,0.887757940623306
1,76,0.0008,0.24250363172288147,0.35366199289759,0.5741991991991992,0.929659013367722
2,76,0.0008,0.21073491381401907,0.3470216355774374,0.6441441441441441,0.932522049076103
3,76,0.0008,0.2033435621595364,0.36273917702159714,0.6123623623623624,0.9453858888918948
4,76,0.0008,0.19536543956908972,0.357747673012671,0.5970970970970971,0.9377190629067507
5,76,0.0008,0.193012322184042,0.352544366160319,0.613988988988989,0.941921901881862
6,76,0.0008,0.18631670200222322,0.4110425645707264,0.6820570570570571,0.9263311735158581
7,76,0.0008,0.18699209896280136,0.3472423366315308,0.6335085085085085,0.9406157283409535
8,76,0.0008,0.18244173383159112,0.3218891881406307,0.6353853853853854,0.9386762262763263
9,76,0.0008,0.18259310943931872,0.5331575494880477,0.5701951951951952,0.9144313232151069
10,76,0.0008,0.1816079468871975,0.41192957758903503,0.5709459459459459,0.9331950819688557
11,76,0.0008,0.1799273914307934,0.32605746503741967,0.651026026026026,0.9393991088185282
12,76,0.0008,0.1806039231327864,0.3241897298998776,0.6547797797797797,0.9394870972073173
13,76,0.0004,0.14786327828563822,0.4040412387500207,0.6407657657657657,0.9314907374842311
14,76,0.0004,0.1410475559596541,0.3517414142510721,0.6632882882882883,0.9459223362501641
15,76,0.0004,0.14370988652666508,0.33721600313271793,0.6635385385385385,0.939792207122037
16,76,0.0004,0.14072980828163476,0.3640527031162665,0.664039039039039,0.9339993772551329
17,76,0.0004,0.13491646348171774,0.32762476047944455,0.6938188188188188,0.9425695089483878
18,76,0.0004,0.13636264262586018,0.3514901477666128,0.6846846846846847,0.9379041203365528
